source program: DIGISIM WINDOWS
program version: 3.05
file type: CV

experimental parameters:
Estart (V): 1.000
Eswitch (V): -0.800
Eend (V): 1.000
v (V/s): 5.000e-002
temperature (K): 298.2
Ru (Ohms): 0
Cdl (F): 0
cycles: 1

experimental CV curve:
number of E(V), I(A) couples: 3600
1.000, +2.350e-006
0.999, +1.902e-006
0.998, +1.782e-006
0.997, +1.750e-006
0.996, +1.712e-006
0.995, +1.680e-006
0.994, +1.648e-006
0.993, +1.624e-006
0.992, +1.597e-006
0.991, +1.570e-006
0.990, +1.549e-006
0.989, +1.519e-006
0.988, +1.501e-006
0.987, +1.479e-006
0.986, +1.457e-006
0.985, +1.439e-006
0.984, +1.414e-006
0.983, +1.393e-006
0.982, +1.372e-006
0.981, +1.348e-006
0.980, +1.336e-006
0.979, +1.319e-006
0.978, +1.298e-006
0.977, +1.282e-006
0.976, +1.264e-006
0.975, +1.242e-006
0.974, +1.230e-006
0.973, +1.206e-006
0.972, +1.190e-006
0.971, +1.179e-006
0.970, +1.159e-006
0.969, +1.143e-006
0.968, +1.131e-006
0.967, +1.115e-006
0.966, +1.104e-006
0.965, +1.086e-006
0.964, +1.071e-006
0.963, +1.060e-006
0.962, +1.044e-006
0.961, +1.031e-006
0.960, +1.022e-006
0.959, +1.001e-006
0.958, +9.915e-007
0.957, +9.766e-007
0.956, +9.621e-007
0.955, +9.524e-007
0.954, +9.395e-007
0.953, +9.287e-007
0.952, +9.130e-007
0.951, +8.998e-007
0.950, +8.836e-007
0.949, +8.746e-007
0.948, +8.634e-007
0.947, +8.426e-007
0.946, +8.396e-007
0.945, +8.292e-007
0.944, +8.206e-007
0.943, +8.062e-007
0.942, +7.918e-007
0.941, +7.870e-007
0.940, +7.729e-007
0.939, +7.648e-007
0.938, +7.523e-007
0.937, +7.410e-007
0.936, +7.288e-007
0.935, +7.194e-007
0.934, +7.161e-007
0.933, +7.027e-007
0.932, +6.889e-007
0.931, +6.782e-007
0.930, +6.707e-007
0.929, +6.636e-007
0.928, +6.558e-007
0.927, +6.455e-007
0.926, +6.337e-007
0.925, +6.221e-007
0.924, +6.079e-007
0.923, +6.021e-007
0.922, +5.815e-007
0.921, +5.646e-007
0.920, +5.711e-007
0.919, +5.608e-007
0.918, +5.560e-007
0.917, +5.508e-007
0.916, +5.390e-007
0.915, +5.365e-007
0.914, +5.250e-007
0.913, +5.188e-007
0.912, +5.048e-007
0.911, +4.981e-007
0.910, +4.930e-007
0.909, +4.857e-007
0.908, +4.759e-007
0.907, +4.708e-007
0.906, +4.609e-007
0.905, +4.519e-007
0.904, +4.461e-007
0.903, +4.391e-007
0.902, +4.354e-007
0.901, +4.201e-007
0.900, +4.117e-007
0.899, +4.047e-007
0.898, +3.958e-007
0.897, +3.922e-007
0.896, +3.757e-007
0.895, +3.736e-007
0.894, +3.693e-007
0.893, +3.599e-007
0.892, +3.560e-007
0.891, +3.540e-007
0.890, +3.440e-007
0.889, +3.349e-007
0.888, +3.310e-007
0.887, +3.244e-007
0.886, +3.153e-007
0.885, +3.085e-007
0.884, +2.984e-007
0.883, +2.981e-007
0.882, +2.904e-007
0.881, +2.830e-007
0.880, +2.722e-007
0.879, +2.662e-007
0.878, +2.616e-007
0.877, +2.551e-007
0.876, +2.493e-007
0.875, +2.439e-007
0.874, +2.303e-007
0.873, +2.279e-007
0.872, +2.240e-007
0.871, +2.139e-007
0.870, +2.037e-007
0.869, +2.015e-007
0.868, +1.963e-007
0.867, +1.905e-007
0.866, +1.836e-007
0.865, +1.826e-007
0.864, +1.764e-007
0.863, +1.725e-007
0.862, +1.644e-007
0.861, +1.543e-007
0.860, +1.491e-007
0.859, +1.473e-007
0.858, +1.407e-007
0.857, +1.382e-007
0.856, +1.289e-007
0.855, +1.202e-007
0.854, +1.146e-007
0.853, +1.130e-007
0.852, +1.035e-007
0.851, +1.065e-007
0.850, +9.918e-008
0.849, +9.017e-008
0.848, +8.547e-008
0.847, +8.135e-008
0.846, +7.381e-008
0.845, +6.059e-008
0.844, +5.618e-008
0.843, +5.775e-008
0.842, +5.589e-008
0.841, +4.492e-008
0.840, +4.453e-008
0.839, +3.307e-008
0.838, +3.571e-008
0.837, +2.768e-008
0.836, +2.425e-008
0.835, +1.759e-008
0.834, +1.211e-008
0.833, +1.073e-008
0.832, +1.034e-008
0.831, +2.703e-009
0.830, -1.312e-009
0.829, -1.091e-008
0.828, -1.630e-008
0.827, -1.375e-008
0.826, -2.169e-008
0.825, -2.453e-008
0.824, -2.981e-008
0.823, -4.294e-008
0.822, -4.588e-008
0.821, -5.166e-008
0.820, -5.567e-008
0.819, -2.688e-008
0.818, -5.930e-008
0.817, -6.831e-008
0.816, -7.565e-008
0.815, -7.663e-008
0.814, -8.241e-008
0.813, -8.447e-008
0.812, -9.279e-008
0.811, -9.279e-008
0.810, -1.057e-007
0.809, -1.097e-007
0.808, -1.068e-007
0.807, -1.125e-007
0.806, -1.123e-007
0.805, -1.187e-007
0.804, -1.280e-007
0.803, -1.291e-007
0.802, -1.330e-007
0.801, -1.371e-007
0.800, -1.392e-007
0.799, -1.423e-007
0.798, -1.512e-007
0.797, -1.563e-007
0.796, -1.592e-007
0.795, -1.614e-007
0.794, -1.729e-007
0.793, -1.762e-007
0.792, -1.772e-007
0.791, -1.830e-007
0.790, -1.867e-007
0.789, -1.854e-007
0.788, -1.897e-007
0.787, -1.918e-007
0.786, -1.974e-007
0.785, -2.012e-007
0.784, -2.080e-007
0.783, -2.101e-007
0.782, -2.145e-007
0.781, -2.134e-007
0.780, -2.212e-007
0.779, -2.250e-007
0.778, -2.341e-007
0.777, -2.344e-007
0.776, -2.347e-007
0.775, -2.377e-007
0.774, -2.405e-007
0.773, -2.486e-007
0.772, -2.510e-007
0.771, -2.572e-007
0.770, -2.657e-007
0.769, -2.641e-007
0.768, -2.697e-007
0.767, -2.734e-007
0.766, -2.697e-007
0.765, -2.817e-007
0.764, -2.837e-007
0.763, -2.836e-007
0.762, -2.867e-007
0.761, -2.863e-007
0.760, -2.929e-007
0.759, -2.984e-007
0.758, -3.011e-007
0.757, -3.073e-007
0.756, -3.096e-007
0.755, -3.015e-007
0.754, -3.142e-007
0.753, -3.187e-007
